name,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,telephone,Adresse,Adresse2,city,location
Suisse4,,,,,,,,043 497 22 88,10 Barengasse,,Zurich,47.3704578/8.537889
Royaume-Uni9,,,,,,,,020 7629 9018,19 South Molton Street Mayfair,,London,51.51370199999999/-0.1481665
Etats-Unis7,,,,,,,,(305) 792-1157,19555 Biscayne Blvd,,Miami,25.9572096/-80.14316319999999
France94,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 76 94 27 76,10 rue Clot Bey,,Grenoble,45.1899114/5.7235469
France48,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 44 59 39 06,3 rue des Rosiers,,Paris,48.85624259999999/2.3610262
Allemagne5,,,,,,,,040 87972297,Bleichenbrucke 1/7,,Hambourg,53.55116109999999/9.9888549
Japon9,,,,,,,,06-6485-7666,3-1-3 Umeda,,Kita-ku,34.7031143/135.494996
France30,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 80 48 49 85,41 Rue de la Liberté,,Dijon,47.3116847/5.0297261
Etats-Unis1,,,,,,,,(310) 358-9616,8640 Sunset Boulevard,West Hollywood,Los Angeles,34.0918762/-118.3799549
Chine8,,,,,,,,010 6417 6110,19 Sanlitun North Road,Taiguli,Beijing,39.938917/116.454464
France12,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,04 98 03 62 01,9 Boulevard de Strasbourg,Galeries Lafayette,Toulon,43.1249806/5.930409999999999
0025 - Montmartre,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 40 13 00 54,11 rue de Montmartre,,Paris,48.8642276/2.3451991
France116,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 19 26 91,Boulevard du Littoral,Printemps terrasses du port,Marseille,43.3078301/5.366160799999999
Espagne9,,,,,,,,963 51 49 10,C/Marques de dos aguas 7,,Valencia,39.4729761/-0.374219
Espagne8,,,,,,,,917 70 49 95,79 Raimudo Fernandez Villaverde,,Madrid,40.4473353/-3.6942972
Royaume-Uni6,,,,,,,,020 8332 3004,22 Hill Street Richmond,,London,51.45901749999999/-0.3058454
France84,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 41 43 35 17,6 rue Alsace,,Angers,47.4705749/-0.5512642
France26,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 34 33 24 06,4 Rue Lapeyrouse,Galeries Lafayette,Toulouse,43.6039822/1.4460322
Etats-Unis6,,,,,,,,(212) 396-3800,992 Madison Ave,,NY,40.7751597/-73.9631581
France87,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 31 88 81 64,104 Rue Eugène Colas,,Deauville,49.3595926/0.07145750000000001
France25,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,09 54 63 81 05,4 Rue Lapeyrouse,Galeries Lafayette,Toulouse,43.6039822/1.4460322
France42,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 48 87 46 53,36 rue de la Verrerie,,Paris,48.8577518/2.3539077
Japon7,,,,,,,,093-551-4533,3-1-1 Kyomachi,,Kokurakita-ku,33.8851036/130.8825295
France4,10:00-20:00,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,01 34 88 66 00,2 Avenue de Europe,Printemps Vélizy 2,Vélizy,48.78104769999999/2.2201121
Suisse5,,,,,,,,022 310 64 44,1 rue du Perron,,Genève,46.2022376/6.1483191
France16,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 42 38 65 08,7 Rue Marius Reynaud,,Aix en Provence,43.5281752/5.4502102
France34,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 87 62 05 14,4 rue Winston Churchill,,Metz,49.11670669999999/6.1723297
France96,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 83 32 60 18,2 Avenue Foch,Printemps Nancy,Nancy,48.689738/6.1768049
Etats-Unis4,,,,,,,,(212) 989-7300,831 Washington Street,,NY,40.7400307/-74.0078055
Royaume-Uni12,,,,,,,,020 7225 5935,Harrods Women - 87-135 Brompton Road,4ème étage,London,51.5073509/-0.1277583
France58,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 43 22 03 34,22 rue Départ,CC Montparnasse,Paris,48.8429768/2.3228289
France21,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,04 93 62 66 19,6 Avenue Jean Médecin,,Nice,43.69883919999999/7.2696786
Danemark1,,,,,,,,33 33 93 36,"1, Ostergade",,Copenhagen,55.680163/12.584534
Royaume-Uni5,,,,,,,,020 7433 3600,23-24 Hampstead High Street,,London,51.5557917/-0.1763294
France97,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 83 48 35 68,2 Avenue Foch,Printemps Nancy,Nancy,48.689738/6.1768049
Russie2,,,,,,,,8 (495) 951-11-98,"48, Kutuzovsky prospekt",Vremena Goda Mall,Moscou,55.73169499999999/37.487466
Royaume-Uni7,,,,,,,,020 7313 9518,42 Ledbury Road Kensington,,London,51.5142641/-0.1988797
Royaume-Uni3,,,,,,,,020 7586 8633,94 St John Wood's High street,,London,51.5331868/-0.1699805
